temporada,id_jugador,nombre_jugador,edad,nacionalidad,equipo,partidos_jugados,minutos,goles,tarjetas_amarillas,tarjetas_rojas
2022,2294,Willian,34.0,Brazil,Fulham FC,27.0,2142.0,5.0,2.0,0.0
2022,17715,S. Alzate,24.0,Colombia,Brighton & Hove Albion,0.0,0.0,0.0,0.0,0.0
2022,19016,C. Chambers,27.0,England,Aston Villa,14.0,342.0,0.0,2.0,0.0
2022,70078,F. Pellistri,21.0,Uruguay,Manchester United,4.0,60.0,0.0,0.0,0.0
2022,137220,A. Moran,19.0,Republic of Ireland,Brighton & Hove Albion,1.0,11.0,0.0,0.0,0.0
2022,138786,E. Simms,21.0,England,Everton FC,11.0,221.0,1.0,0.0,0.0
2022,152977,L. Stewart,20.0,England,Liverpool FC,0.0,0.0,0.0,0.0,0.0
2022,163054,S. Shoretire,18.0,England,Manchester United,0.0,0.0,0.0,0.0,0.0
2022,215874,T. Cannon,20.0,Republic of Ireland,Everton FC,2.0,23.0,0.0,0.0,0.0
2022,288109,A. Robertson,19.0,Australia,Manchester City,0.0,0.0,0.0,0.0,0.0
2022,18762,T. Davies,24.0,England,Everton FC,19.0,528.0,0.0,3.0,0.0
2022,18803,N. Chalobah,28.0,England,Fulham FC,4.0,10.0,0.0,0.0,1.0
2022,18817,A. Ogbonna,34.0,Italy,West Ham United,16.0,1236.0,0.0,0.0,0.0
2022,18942,Y. Valery,23.0,Tunisia,Southampton FC,1.0,46.0,0.0,0.0,0.0
2022,18962,S. Duffy,30.0,Republic of Ireland,Brighton & Hove Albion,0.0,0.0,0.0,0.0,0.0
2022,19015,J. Bryan,29.0,England,Fulham FC,0.0,0.0,0.0,0.0,0.0
2022,19150,M. Holgate,26.0,Jamaica,Everton FC,8.0,507.0,0.0,2.0,0.0
2022,19860,M. Clarke,26.0,England,Brighton & Hove Albion,0.0,0.0,0.0,0.0,0.0
2022,127472,N. Phillips,25.0,England,Liverpool FC,2.0,66.0,0.0,0.0,0.0
2022,149550,J. Tanganga,23.0,England,Tottenham Hotspur,4.0,146.0,0.0,0.0,0.0
2022,284356,S. Charles,19.0,Northern Ireland,Manchester City,1.0,27.0,0.0,0.0,0.0
2022,309501,A. Cozier-Duberry,17.0,England,Arsenal FC,0.0,0.0,0.0,0.0,0.0
2022,343576,B. Doak,17.0,Scotland,Liverpool FC,2.0,24.0,0.0,0.0,0.0
