season,player_id,player_name,age,nationality,team,games_played,minutes,goals,assists,yellow_cards,red_cards
2020,2991,C. Kouyaté,35,Senegal,Crystal Palace,36.0,3122.0,1.0,,4.0,0.0
2020,18777,M. Albrighton,35,England,Leicester,31.0,1741.0,1.0,5.0,2.0,0.0
2020,18815,R. Fredericks,32,England,West Ham,14.0,564.0,1.0,1.0,2.0,0.0
2020,18836,W. Hennessey,37,Wales,Crystal Palace,0.0,0.0,0.0,,0.0,0.0
2020,18844,J. Tomkins,35,England,Crystal Palace,8.0,552.0,0.0,,1.0,0.0
2020,18891,C. Clark,35,Republic of Ireland,Newcastle,22.0,1893.0,1.0,,3.0,0.0
2020,18892,P. Dummett,33,Wales,Newcastle,15.0,1256.0,1.0,,2.0,0.0
2020,18908,J. Hart,37,England,Tottenham,0.0,0.0,0.0,,0.0,0.0
2020,18924,J. Hendrick,32,Republic of Ireland,Newcastle,22.0,1423.0,2.0,1.0,2.0,0.0
2020,19017,C. Christie,32,Republic of Ireland,Fulham,0.0,0.0,0.0,,0.0,0.0
2020,19160,J. Livermore,35,England,West Brom,18.0,1248.0,0.0,,2.0,1.0
2020,19229,D. Randolph,37,Republic of Ireland,West Ham,3.0,270.0,0.0,,0.0,0.0
2020,19481,J. Rodwell,33,England,Sheffield Utd,0.0,0.0,0.0,,0.0,0.0
2020,82022,O. Buur,26,Denmark,Wolves,1.0,22.0,0.0,,0.0,0.0
2020,138806,B. Williams,24,England,Manchester United,4.0,186.0,0.0,,0.0,0.0
2020,163,S. Aurier,32,Côte d'Ivoire,Tottenham,19.0,1609.0,2.0,3.0,0.0,0.0
2020,190,Cédric Soares,33,Portugal,Arsenal,10.0,745.0,0.0,1.0,1.0,0.0
2020,1450,S. Papastathopoulos,36,Greece,Arsenal,0.0,0.0,0.0,,0.0,0.0
2020,18763,J. McCarthy,34,Republic of Ireland,Crystal Palace,16.0,822.0,0.0,,1.0,0.0
2020,18845,P. van Aanholt,34,Netherlands,Crystal Palace,22.0,1776.0,0.0,1.0,2.0,0.0
2020,18857,C. Wickham,31,England,Crystal Palace,0.0,0.0,0.0,,0.0,0.0
2020,18972,A. Knockaert,33,France,Fulham,0.0,0.0,0.0,,0.0,0.0
2020,18978,F. Andone,31,Romania,Brighton,0.0,0.0,0.0,,0.0,0.0
2020,19011,Fabri,37,Spain,Fulham,0.0,0.0,0.0,,0.0,0.0
2020,19018,T. Fosu-Mensah,26,Netherlands,Manchester United,1.0,81.0,0.0,,1.0,0.0
2020,19029,K. McDonald,36,Scotland,Fulham,0.0,0.0,0.0,,0.0,0.0
2020,19132,J. Stevens,24,England,Leeds,0.0,0.0,0.0,,0.0,0.0
2020,19133,E. Alioski,32,North Macedonia,Leeds,36.0,2464.0,2.0,3.0,7.0,0.0
2020,19157,R. Harper,24,England,West Brom,2.0,30.0,0.0,,0.0,0.0
2020,19236,M. Bešić,32,Bosnia and Herzegovina,Everton,0.0,0.0,0.0,,0.0,0.0
2020,19373,M. Hector,32,Jamaica,Fulham,4.0,264.0,0.0,,2.0,0.0
2020,20055,N. Kirby,24,England,Crystal Palace,0.0,0.0,0.0,,0.0,0.0
2020,127605,N. Ferguson,24,England,Crystal Palace,0.0,0.0,0.0,,0.0,0.0
2020,138909,D. Langley,24,England,Newcastle,0.0,0.0,0.0,,0.0,0.0
2020,180771,M. Goodridge,25,England,Burnley,0.0,0.0,0.0,,0.0,0.0
2020,458,M. Diagne,33,Senegal,West Brom,16.0,1193.0,3.0,2.0,2.0,0.0
2020,1107,F. Benković,27,Croatia,Leicester,0.0,0.0,0.0,,0.0,0.0
2020,1452,Mohamed Elneny,32,Egypt,Arsenal,23.0,1542.0,1.0,,3.0,0.0
2020,3421,D. Amartey,30,Ghana,Leicester,12.0,720.0,1.0,,3.0,0.0
2020,18848,S. Woods,26,England,Crystal Palace,0.0,0.0,0.0,,0.0,0.0
2020,18852,L. Milivojević,33,Serbia,Crystal Palace,31.0,2365.0,1.0,1.0,8.0,1.0
2020,18934,H. Lewis,27,England,Southampton,0.0,0.0,0.0,,0.0,0.0
2020,19027,N. Kebano,32,Congo DR,Fulham,5.0,116.0,0.0,,0.0,0.0
2020,19149,Ahmed Hegazy,33,Egypt,West Brom,1.0,90.0,0.0,,0.0,0.0
2020,21147,A. Gomez Mancini,23,France,Burnley,0.0,0.0,0.0,,0.0,0.0
2020,45027,R. Innis,29,England,Crystal Palace,0.0,0.0,0.0,,0.0,0.0
2020,100079,P. Gwargis,24,Sweden,Brighton,0.0,0.0,0.0,,0.0,0.0
2020,137299,L. Richardson,21,England,Burnley,2.0,3.0,0.0,,0.0,0.0
2020,151753,T. Jenks,22,England,Brighton,0.0,0.0,0.0,,0.0,0.0
2020,162904,R. Williams,23,England,Liverpool,9.0,660.0,0.0,,0.0,0.0
2020,204178,J. Mumbongo,25,Sweden,Burnley,4.0,36.0,0.0,,1.0,0.0
2020,276086,T. Suengchitthawon,24,Thailand,Leicester,0.0,0.0,0.0,,0.0,0.0
2020,277714,K. Gordon,22,England,Sheffield Utd,0.0,0.0,0.0,,0.0,0.0
2020,282901,J. Jenkins,23,England,Leeds,0.0,0.0,0.0,,0.0,0.0
2020,302844,F. Maguire,21,England,Sheffield Utd,0.0,0.0,0.0,,0.0,0.0
2020,18033,N. Baxter,26,England,Chelsea,0.0,0.0,0.0,,0.0,0.0
2020,18783,T. Leshabela,25,South Africa,Leicester,1.0,9.0,0.0,,0.0,0.0
2020,18920,J. Benson,25,England,Burnley,6.0,261.0,0.0,,0.0,0.0
2020,19188,C. Hourihane,33,Republic of Ireland,Aston Villa,4.0,227.0,1.0,1.0,0.0,0.0
2020,19393,J. Onomah,27,England,Fulham,11.0,370.0,0.0,,1.0,0.0
2020,19437,B. Davies,29,England,Liverpool,0.0,0.0,0.0,,0.0,0.0
2020,19565,J. Weir,22,England,Brighton,0.0,0.0,0.0,,0.0,0.0
2020,20224,A. Lonergan,41,England,West Brom,0.0,0.0,0.0,,0.0,0.0
2020,20319,N. Bishop,25,England,Manchester United,0.0,0.0,0.0,,0.0,0.0
2020,125705,T. Perry,23,England,Wolves,0.0,0.0,0.0,,0.0,0.0
2020,127202,R. Nartey,26,England,Burnley,0.0,0.0,0.0,,0.0,0.0
2020,129707,T. Francois,24,Australia,Fulham,1.0,14.0,0.0,,0.0,0.0
2020,137301,A. Cochrane,24,England,Brighton,0.0,0.0,0.0,,0.0,0.0
2020,138844,H. Tyrer,23,England,Everton,0.0,0.0,0.0,,0.0,0.0
2020,180934,O. Casey,24,England,Leeds,0.0,0.0,0.0,,0.0,0.0
2020,192348,J. Soule,24,England,West Brom,0.0,0.0,0.0,,0.0,0.0
2020,231078,T. Gardner-Hickman,23,England,West Brom,0.0,0.0,0.0,,0.0,0.0
2020,277715,Z. Brunt,23,England,Sheffield Utd,0.0,0.0,0.0,,0.0,0.0
2020,283273,C. Taylor,21,England,West Brom,0.0,0.0,0.0,,0.0,0.0
2020,284423,R. Finnigan,21,England,Southampton,0.0,0.0,0.0,,0.0,0.0
2020,2795,G. Sigurðsson,35,Iceland,Everton,36.0,2255.0,6.0,5.0,2.0,0.0
2020,18820,C. Coventry,24,Republic of Ireland,West Ham,0.0,0.0,0.0,,0.0,0.0
2020,18842,M. Sakho,34,France,Crystal Palace,4.0,275.0,0.0,,0.0,0.0
2020,18939,K. Ramsay,24,England,Southampton,0.0,0.0,0.0,,0.0,0.0
2020,19090,G. Baldock,31,Greece,Sheffield Utd,32.0,2789.0,0.0,2.0,7.0,0.0
2020,19105,O. Norwood,33,Northern Ireland,Sheffield Utd,32.0,2226.0,0.0,,6.0,0.0
2020,19139,T. Roberts,25,Wales,Leeds,27.0,1338.0,1.0,2.0,3.0,0.0
2020,19174,J. Steer,32,England,Aston Villa,0.0,0.0,0.0,,0.0,0.0
2020,130422,D. Nlundulu,25,England,Southampton,13.0,98.0,0.0,,0.0,0.0
2020,138793,H. White,23,England,Tottenham,0.0,0.0,0.0,,0.0,0.0
2020,138842,M. Azeez,22,England,Arsenal,0.0,0.0,0.0,,0.0,0.0
2020,138864,K. Chauke,21,South Africa,Southampton,0.0,0.0,0.0,,0.0,0.0
2020,154804,M. Emmanuel,24,England,West Ham,0.0,0.0,0.0,,0.0,0.0
2020,162441,J. Ojrzyński,21,Poland,Liverpool,0.0,0.0,0.0,,0.0,0.0
2020,167657,T. Onyango,21,England,Everton,0.0,0.0,0.0,,0.0,0.0
2020,171059,J. Baptiste,21,England,West Ham,0.0,0.0,0.0,,0.0,0.0
2020,237124,C. Watts,22,Australia,Southampton,3.0,36.0,0.0,,1.0,0.0
2020,278069,T. King,22,England,West Brom,0.0,0.0,0.0,,0.0,0.0
2020,278129,L. Mbete,21,England,Manchester City,0.0,0.0,0.0,,0.0,0.0
2020,280685,N. Lonwijk,22,Netherlands,Wolves,0.0,0.0,0.0,,0.0,0.0
2020,253,A. Areola,31,France,Fulham,36.0,3240.0,0.0,,2.0,0.0
2020,281,C. Kelleher,26,Republic of Ireland,Liverpool,2.0,180.0,0.0,,0.0,0.0
2020,518,M. Shabani,25,Germany,Wolves,0.0,0.0,0.0,,0.0,0.0
2020,567,Rúben Dias,27,Portugal,Manchester City,32.0,2845.0,1.0,,4.0,0.0
2020,671,B. Traoré,29,Burkina Faso,Aston Villa,36.0,2334.0,7.0,6.0,1.0,0.0
2020,890,M. Rojo,34,Argentina,Manchester United,0.0,0.0,0.0,,0.0,0.0
2020,1485,Bruno Fernandes,30,Portugal,Manchester United,37.0,3109.0,18.0,12.0,6.0,0.0
2020,1946,L. Trossard,30,Belgium,Brighton,35.0,2621.0,5.0,5.0,2.0,0.0
2020,2484,Y. Mina,30,Colombia,Everton,24.0,1939.0,2.0,,2.0,0.0
2020,2500,F. Balbuena,33,Paraguay,West Ham,14.0,1198.0,1.0,,1.0,1.0
2020,2664,Trézéguet,30,Egypt,Aston Villa,21.0,1166.0,2.0,1.0,0.0,0.0
2020,2724,L. Digne,31,France,Everton,30.0,2682.0,0.0,7.0,2.0,1.0
2020,2735,P. Højbjerg,29,Denmark,Tottenham,38.0,3420.0,2.0,4.0,9.0,0.0
2020,18931,C. Wood,33,New Zealand,Burnley,33.0,2750.0,12.0,3.0,0.0,0.0
2020,18968,Y. Bissouma,28,Mali,Brighton,36.0,3114.0,1.0,,8.0,1.0
2020,19088,D. Henderson,27,England,Manchester United,13.0,1124.0,0.0,,3.0,0.0
2020,19118,L. Cooper,33,Scotland,Leeds,25.0,2187.0,1.0,,4.0,1.0
2020,22090,W. Saliba,23,France,Arsenal,0.0,0.0,0.0,,0.0,0.0
2020,128384,Vitinha,24,Portugal,Wolves,19.0,511.0,0.0,1.0,0.0,0.0
2020,284327,R. Welch,21,England,Everton,0.0,0.0,0.0,,0.0,0.0
2020,301,B. Woodburn,25,Wales,Liverpool,0.0,0.0,0.0,,0.0,0.0
2020,574,F. KrovinoviÄ‡,29,Croatia,West Brom,11.0,543.0,0.0,,0.0,0.0
2020,2758,L. KaliniÄ‡,34,Croatia,Aston Villa,0.0,0.0,0.0,,0.0,0.0
2020,3295,P. Tau,30,South Africa,Brighton,3.0,102.0,0.0,1.0,0.0,0.0
2020,18851,M. Meyer,29,Germany,Crystal Palace,0.0,0.0,0.0,,0.0,0.0
2020,18913,A. Glennon,25,England,Burnley,0.0,0.0,0.0,,0.0,0.0
2020,18930,M. Vydra,32,Czechia,Burnley,28.0,1366.0,3.0,2.0,0.0,0.0
2020,18952,C. Austin,35,England,West Brom,5.0,132.0,0.0,,0.0,0.0
